지표유형,성별,거리,학년,백분위구간,표본N,향상폭_p25(초),향상폭_p50(초),향상폭_p75(초),평균향상폭(초),예측단계,향상속도_AUC(%),백분위_AUC(%),예측력차이(AUC%p),신뢰한계문구
기준선,남,2000,3,전체,26,-7.192,8.171,28.294,10.271,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,2000,4,전체,42,-17.758,11.364,36.49,8.581,,,,,
기준선,남,2000,5,전체,45,-2.732,6.682,15.882,9.744,,,,,
기준선,남,3000,6,전체,2,-37.14,-27.384,-17.629,-27.385,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,7,전체,44,-29.528,5.358,45.365,3.306,,,,,
기준선,남,3000,8,전체,41,-27.825,2.154,37.519,7.695,,,,,
기준선,남,3000,9,전체,32,6.596,24.459,68.989,32.27,,,,,
기준선,남,3000,10,전체,35,-19.589,9.662,38.492,7.334,,,,,
기준선,남,3000,11,전체,28,-20.327,-0.421,26.981,-2.77,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,12,전체,19,-52.437,-12.328,8.594,-23.746,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,13,전체,14,-86.439,-8.771,17.681,-29.873,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,14,전체,11,-69.255,-20.848,21.486,-18.243,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,15,전체,8,-22.672,24.3,55.819,14.245,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,16,전체,6,-32.518,-12.407,-5.524,-15.118,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,17,전체,6,-0.965,19.933,46.421,27.402,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,18,전체,6,-21.456,-9.493,9.528,-6.709,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,19,전체,3,38.853,46.929,49.251,43.093,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,3000,20,전체,2,-23.294,-17.116,-10.939,-17.116,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,1,전체,9,4.324,4.811,5.097,5.111,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,2,전체,28,2.133,3.496,4.631,4.028,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,3,전체,46,1.208,2.95,4.061,2.801,,,,,
기준선,여,500,4,전체,94,0.721,1.558,2.948,2.807,,,,,
기준선,여,500,5,전체,113,0.251,1.006,2.052,1.399,,,,,
기준선,여,500,6,전체,97,0.065,0.767,1.808,0.676,,,,,
기준선,여,500,7,전체,83,-0.366,0.475,1.216,0.124,,,,,
기준선,여,500,8,전체,84,-0.439,0.394,1.039,0.535,,,,,
기준선,여,500,9,전체,83,-0.108,0.376,0.94,0.743,,,,,
기준선,여,500,10,전체,97,-0.519,0.158,0.617,-0.206,,,,,
기준선,여,500,11,전체,73,-0.485,0.052,0.592,0.237,,,,,
기준선,여,500,12,전체,44,-0.641,-0.079,0.342,-0.215,,,,,
기준선,여,500,13,전체,28,-0.791,-0.06,0.839,-0.145,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,14,전체,20,-0.686,-0.042,0.27,-0.081,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,15,전체,23,-0.699,-0.179,0.593,0.016,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,16,전체,21,-0.337,0.17,0.647,0.749,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,17,전체,16,-0.4,0.041,0.213,-0.184,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,18,전체,15,-0.111,0.368,0.943,0.417,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,19,전체,12,-0.462,0.031,0.611,-0.255,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,20,전체,8,-0.115,0.475,0.659,0.436,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,21,전체,9,-0.91,-0.47,0.115,-0.96,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,22,전체,6,0.001,0.254,1.531,0.657,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,23,전체,5,-0.445,0.153,0.17,-0.654,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,24,전체,6,0.059,0.311,1.651,1.218,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,25,전체,5,-1.318,-0.491,-0.404,-1.603,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,26,전체,2,-0.296,-0.292,-0.288,-0.292,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,27,전체,1,-0.247,-0.247,-0.247,-0.247,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,39,전체,1,-3.463,-3.463,-3.463,-3.463,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,40,전체,1,3.125,3.125,3.125,3.125,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,45,전체,1,-12.751,-12.751,-12.751,-12.751,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,500,46,전체,1,-1.269,-1.269,-1.269,-1.269,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,1,전체,6,6.17,13.497,16.793,12.28,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,2,전체,24,2.694,5.695,7.854,5.937,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,3,전체,48,0.708,4.711,7.236,3.354,,,,,
기준선,여,1000,4,전체,87,0.204,3.873,8.259,3.778,,,,,
기준선,여,1000,5,전체,126,0.044,2.587,6.792,2.741,,,,,
기준선,여,1000,6,전체,123,-0.193,2.404,5.998,3.533,,,,,
기준선,여,1000,7,전체,113,-1.825,1.044,3.78,0.848,,,,,
기준선,여,1000,8,전체,108,-2.379,0.584,4.263,1.36,,,,,
기준선,여,1000,9,전체,101,-1.447,0.997,4.132,1.123,,,,,
기준선,여,1000,10,전체,94,-2.316,0.256,2.562,0.629,,,,,
기준선,여,1000,11,전체,68,-1.702,0.706,2.734,-0.247,,,,,
기준선,여,1000,12,전체,46,-2.46,-0.492,2.101,0.726,,,,,
기준선,여,1000,13,전체,25,-2.855,-0.029,1.623,-0.524,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,14,전체,19,-2.992,-0.627,1.417,-1.613,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,15,전체,21,-4.342,-0.407,0.955,-1.217,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,16,전체,20,-1.5,-0.655,2.974,-0.576,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,17,전체,20,-2.514,0.053,1.835,0.012,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,18,전체,17,-1.472,-0.113,1.359,0.013,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,19,전체,13,-3.106,-1.595,-0.534,-3.489,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,20,전체,10,-1.056,1.198,1.339,0.418,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,21,전체,9,-3.029,-0.189,1.211,-0.676,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,22,전체,5,-2.343,-0.029,2.094,-1.829,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,23,전체,4,-1.706,-0.009,5.296,3.598,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,24,전체,6,1.448,2.383,3.067,3.198,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,25,전체,4,-2.93,-2.049,-1.288,-2.169,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,26,전체,1,2.376,2.376,2.376,2.376,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,27,전체,1,-2.642,-2.642,-2.642,-2.642,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,40,전체,1,4.739,4.739,4.739,4.739,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,41,전체,1,-2.219,-2.219,-2.219,-2.219,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,45,전체,1,-0.317,-0.317,-0.317,-0.317,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1000,46,전체,1,-2.74,-2.74,-2.74,-2.74,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,1,전체,3,-37.748,-30.305,-5.759,-18.902,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,2,전체,16,3.233,19.912,36.9,16.521,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,3,전체,32,-8.172,1.742,7.625,3.321,,,,,
기준선,여,1500,4,전체,60,-1.122,6.573,16.416,6.69,,,,,
기준선,여,1500,5,전체,56,-6.716,3.704,13.179,3.992,,,,,
기준선,여,1500,6,전체,60,-2.816,6.293,13.988,4.042,,,,,
