원본표기,정규화키,학교급,출현횟수
아랑유치원,아랑유치원,기타,1
아산배방중학교,아산배방중학교,중,1
아주초,아주초등학교,초,1
안남중학교,안남중학교,중,1
안녕초,안녕초등학교,초,1
안녕초등학교,안녕초등학교,초,1
안동서부초등하교,안동서부초등하교,기타,1
안동세잔느어린이집,안동세잔느어린이집,기타,1
안동여자중학교,안동여자중학교,중,1
안동영남초등학교,안동영남초등학교,초,1
안동호명초등학교,안동호명초등학교,초,1
안양관악초등학교,안양관악초등학교,초,1
안양남초등학교,안양남초등학교,초,1
안양덕현초등학교,안양덕현초등학교,초,1
안양동안초등학교,안양동안초등학교,초,1
안양동초등학교,안양동초등학교,초,1
안양샘모루초등학교,안양샘모루초등학교,초,1
안양서초등학교,안양서초등학교,초,1
안양시청,안양시청,실업,1
안양양지초등학교,안양양지초등학교,초,1
안양중학교,안양중학교,중,1
안진초등학교,안진초등학교,초,1
안편초등학교,안편초등학교,초,1
야탑중학교,야탑중학교,중,1
야탑초등학교,야탑초등학교,초,1
양구고등학교,양구고등학교,고,1
양구여자중학교,양구여자중학교,중,1
양덕여자중학교,양덕여자중학교,중,1
양도중학교,양도중학교,중,1
양동초등학교,양동초등학교,초,1
양산여자중학교,양산여자중학교,중,1
양산초등학교(경기),양산초등학교(경기),기타,1
양산하북초등학교,양산하북초등학교,초,1
양산황산초등학교,양산황산초등학교,초,1
양서초등학교,양서초등학교,초,1
양오초드학교,양오초드학교,기타,1
양운중학교,양운중학교,중,1
양일중학교,양일중학교,중,1
양일초등학교,양일초등학교,초,1
양정중학교,양정중학교,중,1
양주남면초등학교,양주남면초등학교,초,1
양주덕산초등학교,양주덕산초등학교,초,1
양주덕현중학교,양주덕현중학교,중,1
양주백석고,양주백석고등학교,고,1
양주백석중,양주백석중학교,중,1
양주산북초등학교,양주산북초등학교,초,1
양주회정초등학교,양주회정초등학교,초,1
양진중학교,양진중학교,중,1
양진초등학교,양진초등학교,초,1
양천중학교,양천중학교,중,1
어룡초등학교,어룡초등학교,초,1
어방초등학교,어방초등학교,초,1
어상천초등학교,어상천초등학교,초,1
어양중학교,어양중학교,중,1
언북초등학교,언북초등학교,초,1
언주중학교,언주중학교,중,1
에덴유치원,에덴유치원,기타,1
여울초,여울초등학교,초,1
여의도여자고등학교,여의도여자고등학교,고,1
여의도초,여의도초등학교,초,1
여주대학교,여주대학교,대,1
역삼중학교,역삼중학교,중,1
연곡초등학교,연곡초등학교,초,1
연무중학교,연무중학교,중,1
연산중학교,연산중학교,중,1
연성초,연성초등학교,초,1
연수고등학교,연수고등학교,고,1
연제중학교,연제중학교,중,1
연제초등학교,연제초등학교,초,1
연지초등학교,연지초등학교,초,1
연천초등학교,연천초등학교,초,1
연촌초등학교,연촌초등학교,초,1
연포초등학교,연포초등학교,초,1
연화초,연화초등학교,초,1
연희중학교,연희중학교,중,1
염경초,염경초등학교,초,1
염경초등학교,염경초등학교,초,1
염티초등학교,염티초등학교,초,1
영가초등학교,영가초등학교,초,1
영남중학교,영남중학교,중,1
영남초등학교,영남초등학교,초,1
영덕여자고등학교,영덕여자고등학교,고,1
영도초,영도초등학교,초,1
영도초등학교,영도초등학교,초,1
영등포공업고등학교,영등포공업고등학교,고,1
영문초등학교,영문초등학교,초,1
영생고등학교,영생고등학교,고,1
영생유치원,영생유치원,기타,1
영선고등학교,영선고등학교,고,1
영운중학교,영운중학교,중,1
영원초등학교,영원초등학교,초,1
영은유치원,영은유치원,기타,1
영중초,영중초등학교,초,1
영천초등학교,영천초등학교,초,1
영파여고,영파여고등학교,고,1
예담어린이집,예담어린이집,기타,1
예문여자고등학교,예문여자고등학교,고,1
예지유치원,예지유치원,기타,1
오금초등학교,오금초등학교,초,1
오동초등학요,오동초등학요,기타,1
오류초등학교,오류초등학교,초,1
오륙도초등학교,오륙도초등학교,초,1
오산시체육회,오산시체육회,실업,1
오산원일중학교,오산원일중학교,중,1
오산중학교,오산중학교,중,1
오성고등학교,오성고등학교,고,1
오정중학교,오정중학교,중,1
오정초등학교,오정초등학교,초,1
오주건설,오주건설,기타,1
오주건설주식회사,오주건설주식회사,기타,1
오창중학교,오창중학교,중,1
옥계동부초등학교,옥계동부초등학교,초,1
옥빛초등학교,옥빛초등학교,초,1
옥정중학교,옥정중학교,중,1
옥정호수초등학교,옥정호수초등학교,초,1
온고을중학교,온고을중학교,중,1
온남초등학교,온남초등학교,초,1
온양권곡초등학교,온양권곡초등학교,초,1
온양신정초등학교,온양신정초등학교,초,1
온양여자중학교,온양여자중학교,중,1
온타리오 국제학교,온타리오국제학교,기타,1
와우중학교,와우중학교,중,1
완산중학교,완산중학교,중,1
왜관중학교,왜관중학교,중,1
용강중학교,용강중학교,중,1
용강초등학교,용강초등학교,초,1
용산국제학교,용산국제학교,기타,1
용산초등학교,용산초등학교,초,1
용소초,용소초등학교,초,1
용수중학교,용수중학교,중,1
용신초등학교,용신초등학교,초,1
용암초등학교,용암초등학교,초,1
용인대,용인대학교,대,1
용인둔전초등학교,용인둔전초등학교,초,1
용인신봉초등학교,용인신봉초등학교,초,1
용인신촌초등학교,용인신촌초등학교,초,1
용인한빛중학교,용인한빛중학교,중,1
용인한얼초등학교,용인한얼초등학교,초,1
용인효자초등학교,용인효자초등학교,초,1
용지초,용지초등학교,초,1
용호중학교,용호중학교,중,1
우리유치원,우리유치원,기타,1
우림초등학교,우림초등학교,초,1
우산중학교,우산중학교,중,1
우석초교,우석초교,기타,1
욱수초등학교,욱수초등학교,초,1
운동초등학교,운동초등학교,초,1
운림중학교,운림중학교,중,1
운천초등학교,운천초등학교,초,1
운현초등학교,운현초등학교,초,1
운흥초등학교,운흥초등학교,초,1
울산대학교,울산대학교,대,1
울산에이스빙상클럽,울산에이스빙상클럽,실업,1
원광대학교,원광대학교,대,1
원동초등학교,원동초등학교,초,1
원명초,원명초등학교,초,1
원봉중학교,원봉중학교,중,1
원촌초등학교,원촌초등학교,초,1
원호초,원호초등학교,초,1
원흥초등학교,원흥초등학교,초,1
월계고등학교,월계고등학교,고,1
월곡중학교,월곡중학교,중,1
월문초등학교,월문초등학교,초,1
월서초등학교,월서초등학교,초,1
월촌,월촌,기타,1
월촌초등학교,월촌초등학교,초,1
위례숲초등학교,위례숲초등학교,초,1
위례중학교,위례중학교,중,1
위례초등학교,위례초등학교,초,1
위례한빛고등학교,위례한빛고등학교,고,1
위즈아일랜드,위즈아일랜드,기타,1
유강중학교,유강중학교,중,1
유목초등학교,유목초등학교,초,1
유봉여고,유봉여고등학교,고,1
유석초등,유석초등,기타,1
유석초등학교,유석초등학교,초,1
유정글로벌학교,유정글로벌학교,기타,1
유정초등학교,유정초등학교,초,1
육민관고등학교,육민관고등학교,고,1
윤경유치원,윤경유치원,기타,1
윤중초,윤중초등학교,초,1
윤희생태유치원,윤희생태유치원,기타,1
율곡중학교,율곡중학교,중,1
율곡초등학교,율곡초등학교,초,1
율현중학교,율현중학교,중,1
은빛초등학교,은빛초등학교,초,1
은석초등학교7,은석초등학교7,기타,1
은성유치원,은성유치원,기타,1
은월초등학교,은월초등학교,초,1
음봉중학교,음봉중학교,중,1
의림여자중학교,의림여자중학교,중,1
의림여중,의림여중학교,중,1
의왕 부곡초등학교,의왕부곡초등학교,초,1
의왕초,의왕초등학교,초,1
의정부광동고,의정부광동고등학교,고,1
의정부배영초등학교,의정부배영초등학교,초,1
의정부부용초등학교,의정부부용초등학교,초,1
의정부서중학교,의정부서중학교,중,1
의정부시신곡초등학교,의정부시신곡초등학교,초,1
의정부여자고학교,의정부여자고학교,기타,1
의정부호동초등학교,의정부호동초등학교,초,1
의정부호원초등학교,의정부호원초등학교,초,1
읜석초등학교,읜석초등학교,초,1
이대부속이화금란고등학교,이대부속이화금란고등학교,고,1
이대부속중학교,이대부속중학교,중,1
이대사대부속초등학교,이대사대부속초등학교,초,1
이리남성여중,이리남성여중학교,중,1
이리남성중,이리남성중학교,중,1
이리남창초등학교,이리남창초등학교,초,1
이리북중,이리북중학교,중,1
이리북중학교,이리북중학교,중,1
이리팔봉초등학교,이리팔봉초등학교,초,1
이서초등학교,이서초등학교,초,1
이성초등학교,이성초등학교,초,1
이소키즈클럽,이소키즈클럽,실업,1
이솔초등학교,이솔초등학교,초,1
이수초,이수초등학교,초,1
이수초등학교,이수초등학교,초,1
이일여자중학교,이일여자중학교,중,1
이화여대,이화여대학교,대,1
이화여자고등학교,이화여자고등학교,고,1
이화여자대학교사범대학 부속초등학교,이화여자대학교사범대학부속초등학교,초,1
이화여자대학교사범대학부속중학교,이화여자대학교사범대학부속중학교,중,1
익산초등학교,익산초등학교,초,1
인덕원고등학교,인덕원고등학교,고,1
인송중학교,인송중학교,중,1
인지초등학교,인지초등학교,초,1
인천가원초등학교,인천가원초등학교,초,1
인천경명초등학교,인천경명초등학교,초,1
인천고잔중학교,인천고잔중학교,중,1
인천논곡초등학교,인천논곡초등학교,초,1
인천논현중학교,인천논현중학교,중,1
인천능허대초등학교,인천능허대초등학교,초,1
인천대건고등학교,인천대건고등학교,고,1
인천도담초등학교,인천도담초등학교,초,1
인천동막초등학교,인천동막초등학교,초,1
인천마전초등학교,인천마전초등학교,초,1
인천만수고등학교,인천만수고등학교,고,1
인천명선초등학교,인천명선초등학교,초,1
인천목향초등학교,인천목향초등학교,초,1
인천문남초등학교,인천문남초등학교,초,1
인천병방초등학교,인천병방초등학교,초,1
인천봉수초등학교,인천봉수초등학교,초,1
인천부일초등학교,인천부일초등학교,초,1
인천불로중학교,인천불로중학교,중,1
인천서면초등학교,인천서면초등학교,초,1
인천서창중학교,인천서창중학교,중,1
인천서창초등학교,인천서창초등학교,초,1
인천소래초등학교,인천소래초등학교,초,1
인천송빛초등학교,인천송빛초등학교,초,1
인천송원초등학교,인천송원초등학교,초,1
인천송천초등학교,인천송천초등학교,초,1
인천송현초등학교,인천송현초등학교,초,1
인천시체육회,인천시체육회,실업,1
인천여자고등학교,인천여자고등학교,고,1
인천연성중학교,인천연성중학교,중,1
인천연화초등학교,인천연화초등학교,초,1
인천영선초등학교,인천영선초등학교,초,1
인천예일고등학교,인천예일고등학교,고,1
인천용현남초등학교,인천용현남초등학교,초,1
인천인제고등학교,인천인제고등학교,고,1
인천장수초등학교,인천장수초등학교,초,1
인천장아초등학교,인천장아초등학교,초,1
인천정각중학교,인천정각중학교,중,1
인천주원초등학교,인천주원초등학교,초,1
인천중앙초등학교,인천중앙초등학교,초,1
인천청라초등학교,인천청라초등학교,초,1
인천청량초등학교,인천청량초등학교,초,1
인천청학초등학교,인천청학초등학교,초,1
인천함박중학교,인천함박중학교,중,1
인천함박초등학교,인천함박초등학교,초,1
인천해송중학교,인천해송중학교,중,1
인천해송초등학교,인천해송초등학교,초,1
인천해원초등학교,인천해원초등학교,초,1
인헌중학교,인헌중학교,중,1
인화여자고등학교,인화여자고등학교,고,1
인화여자중학교,인화여자중학교,중,1
일광중학교,일광중학교,중,1
일광초등학교,일광초등학교,초,1
일산양일중학교,일산양일중학교,중,1
일신여자상업고등학교,일신여자상업고등학교,고,1
일신초등,일신초등,기타,1
일월초등학교,일월초등학교,초,1
임호중학교,임호중학교,중,1
입석초등학교,입석초등학교,초,1
자양중학교,자양중학교,중,1
자연유치원,자연유치원,기타,1
자운초,자운초등학교,초,1
잠신고등학교,잠신고등학교,고,1
잠실고등학교,잠실고등학교,고,1
잠실초,잠실초등학교,초,1
잠원중학교,잠원중학교,중,1
잠일고등학교,잠일고등학교,고,1
잠일초,잠일초등학교,초,1
잠현초등학교,잠현초등학교,초,1
장내중학교,장내중학교,중,1
장덕중학교,장덕중학교,중,1
장림초등학교,장림초등학교,초,1
장산초등학교,장산초등학교,초,1
장성남중학교,장성남중학교,중,1
장성하이텍고등학교,장성하이텍고등학교,고,1
장승초등학교,장승초등학교,초,1
장안중학교,장안중학교,중,1
장안초등학교,장안초등학교,초,1
장암초등학교,장암초등학교,초,1
장위중학교,장위중학교,중,1
장자중학교,장자중학교,중,1
장전중학교,장전중학교,중,1
장천초,장천초등학교,초,1
장천초등학교,장천초등학교,초,1
장평중학교,장평중학교,중,1
장학초교,장학초교,기타,1
장현초등,장현초등,기타,1
장현초등학교,장현초등학교,초,1
장훈고등학교,장훈고등학교,고,1
재독일대한체육회,재독일대한체육회,실업,1
재송초등학교,재송초등학교,초,1
재현중학교,재현중학교,중,1
저동고등학교,저동고등학교,고,1
전동중학교,전동중학교,중,1
전동초등학교,전동초등학교,초,1
전라고등학교,전라고등학교,고,1
전라중학교,전라중학교,중,1
전북사대부고,전북사대부고등학교,고,1
전북여자고등학교,전북여자고등학교,고,1
전일중학교,전일중학교,중,1
전주근영여자고등학교,전주근영여자고등학교,고,1
전주생명과학고등학교,전주생명과학고등학교,고,1
전주서곡초등학교,전주서곡초등학교,초,1
전주서원초등학교,전주서원초등학교,초,1
전주서천초등학교,전주서천초등학교,초,1
전주솔내고등학교,전주솔내고등학교,고,1
전주송북초등학교,전주송북초등학교,초,1
전주시시설관리공단,전주시시설관리공단,기타,1
전주양지초등학교,전주양지초등학교,초,1
전주오송중학교,전주오송중학교,중,1
전주우전중학교,전주우전중학교,중,1
전주유일여고,전주유일여고등학교,고,1
전주전라초등학교,전주전라초등학교,초,1
전주제일고,전주제일고등학교,고,1
전주중산초등,전주중산초등,기타,1
전주중산초등학교,전주중산초등학교,초,1
전주중인초등학교,전주중인초등학교,초,1
전주중학교,전주중학교,중,1
전주한들초등학교,전주한들초등학교,초,1
절영초등학교,절영초등학교,초,1
정각중학교,정각중학교,중,1
정광중학교,정광중학교,중,1
정목초,정목초등학교,초,1
정자초등학교,정자초등학교,초,1
정현초등학교,정현초등학교,초,1
정화여고,정화여고등학교,고,1
제암초등학교,제암초등학교,초,1
제일고등학교,제일고등학교,고,1
제천남천초등학교,제천남천초등학교,초,1
제천상업고등학교,제천상업고등학교,고,1
조대여자고등학교,조대여자고등학교,고,1
조대여자중학교,조대여자중학교,중,1
조암초등학교,조암초등학교,초,1
조양중학교,조양중학교,중,1
조종초등학교,조종초등학교,초,1
종암중학교,종암중학교,중,1
좌야초등학교,좌야초등학교,초,1
주감초등학교,주감초등학교,초,1
주곡초등학교,주곡초등학교,초,1
주엽초등학교,주엽초등학교,초,1
주월초등학교,주월초등학교,초,1
죽전고등학교,죽전고등학교,고,1
중경고등학교,중경고등학교,고,1
중계poly,중계poly,기타,1
중국,중국,기타,1
중대부중학교,중대부중학교,중,1
중랑구아기스포츠단,중랑구아기스포츠단,기타,1
중리초등학교,중리초등학교,초,1
중산고등학교,중산고등학교,고,1
중산초등학교,중산초등학교,초,1
중앙기독중학교,중앙기독중학교,중,1
중앙기독초등학교,중앙기독초등학교,초,1
중앙대학교부속중학교,중앙대학교부속중학교,중,1
중탑초등학교,중탑초등학교,초,1
중평중학교,중평중학교,중,1
중현초등학교,중현초등학교,초,1
증평중학교,증평중학교,중,1
지도중학교,지도중학교,중,1
지평중학교,지평중학교,중,1
진건중학교,진건중학교,중,1
진관고등학교,진관고등학교,고,1
진관중학교,진관중학교,중,1
진남초등학교,진남초등학교,초,1
진명여자고등학교,진명여자고등학교,고,1
진산중학교,진산중학교,중,1
진영대창초등학교,진영대창초등학교,초,1
진해냉천중학교,진해냉천중학교,중,1
진흥초등학교,진흥초등학교,초,1
차산초등학교,차산초등학교,초,1
참사랑요양원,참사랑요양원,기타,1
창경초등학교,창경초등학교,초,1
창동중학교,창동중학교,중,1
창릉초등학교,창릉초등학교,초,1
창리초등학교,창리초등학교,초,1
창문여자고등학교,창문여자고등학교,고,1
창문여자중학교,창문여자중학교,중,1
창문유치원,창문유치원,기타,1
창신초등학교,창신초등학교,초,1
창원남산고등학교,창원남산고등학교,고,1
창원상남초등학교,창원상남초등학교,초,1
창원초등학교,창원초등학교,초,1
창현고등학교,창현고등학교,고,1
채드윅송도국제학교,채드윅송도국제학교,기타,1
천동초등학교,천동초등학교,초,1
천보중학교,천보중학교,중,1
천보초등학교,천보초등학교,초,1
천안가온중학교,천안가온중학교,중,1
천안공업고등학교,천안공업고등학교,고,1
천안동중학교,천안동중학교,중,1
천안불당중학교,천안불당중학교,중,1
천안불당초등학교,천안불당초등학교,초,1
천안쌍용초등학교,천안쌍용초등학교,초,1
천안용소초등학교,천안용소초등학교,초,1
천안중앙고등학교,천안중앙고등학교,고,1
천왕중학교,천왕중학교,중,1
천일초,천일초등학교,초,1
철마초등학교,철마초등학교,초,1
청곡초등학교,청곡초등학교,초,1
청담고등학교,청담고등학교,고,1
청담초등학교,청담초등학교,초,1
청도촌초등학교,청도촌초등학교,초,1
청동초등학교,청동초등학교,초,1
청량고등학교,청량고등학교,고,1
청량중학교,청량중학교,중,1
청량초,청량초등학교,초,1
청룡초,청룡초등학교,초,1
청림중학교,청림중학교,중,1
청림초등학교,청림초등학교,초,1
청명중학교,청명중학교,중,1
청명초등학교,청명초등학교,초,1
청심국제중학교,청심국제중학교,중,1
청옥초등학교,청옥초등학교,초,1
청운중학교,청운중학교,중,1
청운초,청운초등학교,초,1
청운초등학교,청운초등학교,초,1
청주고등학교,청주고등학교,고,1
청주여자고등학교,청주여자고등학교,고,1
청주여자상업고등학교,청주여자상업고등학교,고,1
청주여자중학교,청주여자중학교,중,1
청하유치원,청하유치원,기타,1
청학초등학교,청학초등학교,초,1
추산초등학교,추산초등학교,초,1
춘천고등학교,춘천고등학교,고,1
춘천교육대학부설초등학교,춘천교육대학부설초등학교,초,1
춘천기계공업고등학교,춘천기계공업고등학교,고,1
춘천중학교,춘천중학교,중,1
춘천지방법원,춘천지방법원,기타,1
춘촌교대부설초등학교,춘촌교대부설초등학교,초,1
충남일반,충남일반,기타,1
충남중학교,충남중학교,중,1
충무초등학교,충무초등학교,초,1
충북인터넷고등학교,충북인터넷고등학교,고,1
충북전산기계고등학교,충북전산기계고등학교,고,1
충암고등학교,충암고등학교,고,1
충주중앙중학교,충주중앙중학교,중,1
충청북도 빙상경기연맹,충청북도빙상경기연맹,실업,1
충훈고등학교,충훈고등학교,고,1
치동초등학교,치동초등학교,초,1
칠금초등학교,칠금초등학교,초,1
칠보중학교,칠보중학교,중,1
카라크리스천스쿨,카라크리스천스쿨,기타,1
탕정중학교,탕정중학교,중,1
탕정초,탕정초등학교,초,1
태강삼육초등,태강삼육초등,기타,1
태장초등학교,태장초등학교,초,1
토평마을어린이집,토평마을어린이집,기타,1
토현중학교,토현중학교,중,1
통진중학교,통진중학교,중,1
퇴계원고등학교,퇴계원고등학교,고,1
퇴계원중학교,퇴계원중학교,중,1
판곡초병설유치원,판곡초병설유치원,기타,1
판교초등학교,판교초등학교,초,1
평내고등학교,평내고등학교,고,1
평내중학교,평내중학교,중,1
평리초등학교,평리초등학교,초,1
평촌고,평촌고등학교,고,1
평촌초,평촌초등학교,초,1
평택고덕초등학교,평택고덕초등학교,초,1
포항대흥초등학교,포항대흥초등학교,초,1
포항송곡초등학교,포항송곡초등학교,초,1
포항원동초등학교,포항원동초등학교,초,1
포항장성고등학교,포항장성고등학교,고,1
폴리영어유치원,폴리영어유치원,기타,1
푸른초등학교,푸른초등학교,초,1
풍광초등학교,풍광초등학교,초,1
풍기초,풍기초등학교,초,1
풍기초등학교,풍기초등학교,초,1
풍동중학교,풍동중학교,중,1
풍무중학교,풍무중학교,중,1
풍산초등학교,풍산초등학교,초,1
풍암초등학교,풍암초등학교,초,1
풍양초등학교,풍양초등학교,초,1
풍천중학교,풍천중학교,중,1
풍천초등학교,풍천초등학교,초,1
피노키오어린이집,피노키오어린이집,기타,1
하남중학교,하남중학교,중,1
하늘빛초등학교,하늘빛초등학교,초,1
하늘초,하늘초등학교,초,1
하늘초등학교,하늘초등학교,초,1
하단중학교,하단중학교,중,1
하단초등학교,하단초등학교,초,1
하랑초등학교,하랑초등학교,초,1
하백초등학교,하백초등학교,초,1
하안북초등학교,하안북초등학교,초,1
하안중학교,하안중학교,중,1
하일초등학교,하일초등학교,초,1
학산여자고등학교,학산여자고등학교,고,1
학산초등학교,학산초등학교,초,1
학진초등학교,학진초등학교,초,1
학천초등학교,학천초등학교,초,1
한가람고등학교,한가람고등학교,고,1
한국방송통신대학교,한국방송통신대학교,대,1
한국영등포화교소학교,한국영등포화교소학교,기타,1
한국외국어대학교,한국외국어대학교,대,1
한국외국어대학부속용인외국어고등학교,한국외국어대학부속용인외국어고등학교,고,1
한국외국인학교 서울캠퍼스,한국외국인학교서울캠퍼스,기타,1
한국조형예술고등학교,한국조형예술고등학교,고,1
한국체육대학교 빙상장,한국체육대학교빙상장,기타,1
한대부중,한대부중학교,중,1
한들초등학교,한들초등학교,초,1
한림대학교,한림대학교,대,1
한림유치원,한림유치원,기타,1
한마음초등학교,한마음초등학교,초,1
한빛고등학교,한빛고등학교,고,1
한산중학교,한산중학교,중,1
한샘고등학교,한샘고등학교,고,1
한서고등학교,한서고등학교,고,1
한서초등학교,한서초등학교,초,1
한성유치원,한성유치원,기타,1
한양대학교미래인재교욱원,한양대학교미래인재교욱원,기타,1
한영중학교,한영중학교,중,1
한울안중학교,한울안중학교,중,1
해강고등학교,해강고등학교,고,1
해동중학교,해동중학교,중,1
해운대관광고등학교,해운대관광고등학교,고,1
해운대여자중학교,해운대여자중학교,중,1
해운초등학교,해운초등학교,초,1
행복한우리어린이집,행복한우리어린이집,기타,1
행신고,행신고등학교,고,1
행신초등학교,행신초등학교,초,1
행현초,행현초등학교,초,1
현천고등학교,현천고등학교,고,1
현철클럽,현철클럽,실업,1
형남중학교,형남중학교,중,1
혜원여자고등학교,혜원여자고등학교,고,1
호명초등학교,호명초등학교,초,1
호반초교,호반초교,기타,1
호성초등학교,호성초등학교,초,1
호원중학교,호원중학교,중,1
홍릉초등학교,홍릉초등학교,초,1
홍익대학교사범대학부속고등학교,홍익대학교사범대학부속고등학교,고,1
홍익디자인고,홍익디자인고등학교,고,1
홍익디자인고등,홍익디자인고등,기타,1
홍익빙상클럽,홍익빙상클럽,실업,1
홍익사대부속중학교,홍익사대부속중학교,중,1
홍익초,홍익초등학교,초,1
홍익초등,홍익초등,기타,1
홍익초등학교,홍익초등학교,초,1
홍인디자인고등학교,홍인디자인고등학교,고,1
홍제초등학교,홍제초등학교,초,1
화계초등학교,화계초등학교,초,1
화교소학교,화교소학교,기타,1
화담중학교,화담중학교,중,1
화당초등학교,화당초등학교,초,1
화명초등학교,화명초등학교,초,1
화성반월고등학교,화성반월고등학교,고,1
화성상봉초등학교,화성상봉초등학교,초,1
화암초등학교,화암초등학교,초,1
화접초,화접초등학교,초,1
화접초등,화접초등,기타,1
화정초,화정초등학교,초,1
화천정보산업고등학교,화천정보산업고등학교,고,1
화천중학교,화천중학교,중,1
환호여자중학교,환호여자중학교,중,1
회룡중학교,회룡중학교,중,1
회원초등학교,회원초등학교,초,1
효자초,효자초등학교,초,1
효제초등학교,효제초등학교,초,1
효천초등학교,효천초등학교,초,1
효탑초등학교,효탑초등학교,초,1
후평초등학교,후평초등학교,초,1
휘경여자고등학교,휘경여자고등학교,고,1
휘봉고등학교,휘봉고등학교,고,1
흥덕고등학교,흥덕고등학교,고,1
흥도초등학교,흥도초등학교,초,1
흥진중학교,흥진중학교,중,1
흥해남산초등학교,흥해남산초등학교,초,1
흥해중학교,흥해중학교,중,1
희망대초,희망대초등학교,초,1
희성초등학교,희성초등학교,초,1
힐사이드컬리지잇(송도),힐사이드컬리지잇(송도),기타,1
